station_name_epw,filename_epw,lat_epw,lon_epw,station_name_cweeds,lat_cweeds,lon_cweeds,distance_km,coords_match,geometry,weather_zone
KUUJJUARAPIK,CAN_QC_Kuujjuarapik.AP.CAN001_CWEC2020.zip,55.28,-77.77,KUUJJUARAPIK A,55.28,-77.77,0.0,True,POINT (-583452.4843394329 1287276.3055746246),462.0
L'ACADIE,CAN_QC_Lacadie.713720_CWEC2020.zip,45.29,-73.35,L'ACADIE,45.29,-73.35,0.0,True,POINT (-380757.6473338549 156692.7573322091),479.0
L'ASSOMPTION,CAN_QC_Lassomption.715240_CWEC2020.zip,45.81,-73.43,L'ASSOMPTION,45.81,-73.43,0.0,True,POINT (-383046.08762676443 214833.53975419662),479.0
L'ETAPE,CAN_QC_Letape.713820_CWEC2020.zip,47.56,-71.23,L'ETAPE,47.56,-71.23,0.0,True,POINT (-204818.97003016816 399826.97435323737),491.0
LA BAIE,CAN_QC_La.Baie.713880_CWEC2020.zip,48.3,-70.92,LA BAIE,48.3,-70.92,0.0,True,POINT (-178798.09272699477 480941.78518847557),462.0
LA POCATIERE,CAN_QC_La.Pocatiere.717130_CWEC2020.zip,47.36,-70.03,LA POCATIERE,47.36,-70.03,0.0,True,POINT (-115281.8620793182 374975.7566869155),491.0
LA TUQUE,CAN_QC_La.Tuque.713780_CWEC2020.zip,47.41,-72.79,LA TUQUE,47.41,-72.79,0.0,True,POINT (-322740.12588840275 388964.97271149996),477.0
LAC BENOIT,CAN_QC_Lac.Benoit.715200_CWEC2020.zip,51.53,-71.11,LAC BENOIT,51.53,-71.11,0.0,True,POINT (-179804.80160476174 838395.9257328446),462.0
LAC EON,CAN_QC_Lac.Eon.714210_CWEC2020.zip,51.87,-63.28,LAC EON,51.87,-63.28,0.0,True,POINT (356633.0657308344 885689.2499648134),462.0
LENNOXVILLE,CAN_QC_Lennoxville.716110_CWEC2020.zip,45.37,-71.82,LENNOXVILLE,45.37,-71.82,0.0,True,POINT (-260335.4959023016 158728.73905215165),479.0
LONGUE-POINTE-DE-MINGAN,CAN_QC_Longue.Pointe.De.Mingan.715120_CWEC2020.zip,50.27,-64.23,LONGUE-POINTE-DE-MINGAN,50.27,-64.23,0.0,True,POINT (302357.4416515896 704903.0075104858),462.0
LOURDES DE BLANC SABLON,CAN_QC_Lourdes.De.Blanc.Sablon.AP.718080_CWEC2020.zip,51.44,-57.19,LOURDES DE BLANC SABLON A,51.44,-57.19,0.0,True,POINT (777651.3554501071 886755.4934906287),462.0
MANIWAKI AIRPORT,CAN_QC_Maniwaki.Airport.717210_CWEC2020.zip,46.27,-75.99,MANIWAKI AIRPORT,46.27,-75.99,0.0,True,POINT (-576006.6701928864 282931.7127615672),448.0
MANOUANE,CAN_QC_Manouane.Est.715210_CWEC2020.zip,50.66,-70.53,MANOUANE EST,50.66,-70.53,0.0,True,POINT (-142587.05804460516 741009.1795104141),462.0
